"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 19:41:53 GMT 2023","Wed Jun 21 19:41:57 GMT 2023","3517","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Wed Jun 21 19:42:13 GMT 2023","Wed Jun 21 19:42:15 GMT 2023","1827","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Wed Jun 21 19:42:11 GMT 2023","Wed Jun 21 19:42:13 GMT 2023","2477","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Wed Jun 21 19:42:19 GMT 2023","Wed Jun 21 19:42:20 GMT 2023","528","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Wed Jun 21 19:42:15 GMT 2023","Wed Jun 21 19:42:16 GMT 2023","1052","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Wed Jun 21 19:42:05 GMT 2023","Wed Jun 21 19:42:07 GMT 2023","2056","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Wed Jun 21 19:42:09 GMT 2023","Wed Jun 21 19:42:11 GMT 2023","1105","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Wed Jun 21 19:42:07 GMT 2023","Wed Jun 21 19:42:09 GMT 2023","2540","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Wed Jun 21 19:42:17 GMT 2023","Wed Jun 21 19:42:19 GMT 2023","2305","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"failed","Wed Jun 21 19:41:57 GMT 2023","Wed Jun 21 19:42:05 GMT 2023","8010","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Wed Jun 21 19:42:16 GMT 2023","Wed Jun 21 19:42:17 GMT 2023","912","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
